supp_cd,mgfname,itpack_cd,itempackname,it_cd,itemname,pack_cd,packages,pkg_unit,no_pkg,short_cd,is_0_mrp,mrp_order,ipmrp_cd,mrp_item,mrp,sal_gr_rt,off_onmrp,sal_remark,it_und_gp
"*A","PANAMA PRODUCTS","*A001AC","Pine.Slices-850g","*A001","Pine.Slices","AC","850GM","GM",850.00,"",F,5,"*A001ACE","Pine.Slices-850g @85.00",85.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AC","Pine.Slices-850g","*A001","Pine.Slices","AC","850GM","GM",850.00,"",F,3,"*A001ACF","Pine.Slices-850g @100.00",100.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AC","Pine.Slices-850g","*A001","Pine.Slices","AC","850GM","GM",850.00,"01",F,2,"*A001ACG","Pine.Slices-850g @125.00",125.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AC","Pine.Slices-850g","*A001","Pine.Slices","AC","850GM","GM",850.00,"01",F,1,"*A001ACH","Pine.Slices-850g @150.00",150.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AD","Pine.Slices-450g","*A001","Pine.Slices","AD","450GM","GM",450.00,"",F,6,"*A001ADD","Pine.Slices-450g @56.00",56.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AD","Pine.Slices-450g","*A001","Pine.Slices","AD","450GM","GM",450.00,"",F,6,"*A001ADE","Pine.Slices-450g @70.00",70.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AD","Pine.Slices-450g","*A001","Pine.Slices","AD","450GM","GM",450.00,"",F,3,"*A001ADF","Pine.Slices-450g @72.00",72.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AD","Pine.Slices-450g","*A001","Pine.Slices","AD","450GM","GM",450.00,"",F,2,"*A001ADG","Pine.Slices-450g @85.00",85.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A001AD","Pine.Slices-450g","*A001","Pine.Slices","AD","450GM","GM",450.00,"02",F,3,"*A001ADH","Pine.Slices-450g @110.00",110.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AC","Fruit Cocktail-850g","*A004","Fruit Cocktail","AC","850GM","GM",850.00,"",F,5,"*A004ACE","Fruit Cocktail-850 GM @94.00",94.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AC","Fruit Cocktail-850g","*A004","Fruit Cocktail","AC","850GM","GM",850.00,"",F,3,"*A004ACF","Fruit Cocktail-850g @105.00",105.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AC","Fruit Cocktail-850g","*A004","Fruit Cocktail","AC","850GM","GM",850.00,"04",F,2,"*A004ACG","Fruit Cocktail-850g @130.00",130.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AC","Fruit Cocktail-850g","*A004","Fruit Cocktail","AC","850GM","GM",850.00,"04",F,1,"*A004ACH","Fruit Cocktail-850g @150.00",150.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AD","Fruit Cocktail-450g","*A004","Fruit Cocktail","AD","450GM","GM",450.00,"",F,4,"*A004ADG","Fruit Cocktail-450g @70.00",70.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AD","Fruit Cocktail-450g","*A004","Fruit Cocktail","AD","450GM","GM",450.00,"",F,3,"*A004ADH","Fruit Cocktail-450g @73.00",73.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AD","Fruit Cocktail-450g","*A004","Fruit Cocktail","AD","450GM","GM",450.00,"",F,2,"*A004ADI","Fruit Cocktail-450g @90.00",90.00,0.0000,0.00,"",""
"*A","PANAMA PRODUCTS","*A004AD","Fruit Cocktail-450g","*A004","Fruit Cocktail","AD","450GM","GM",450.00,"05",F,1,"*A004ADJ","Fruit Cocktail-450g @110.00",110.00,0.0000,0.00,"",""
