supp_cd,mgfname,itpack_cd,itempackname,it_cd,itemname,pack_cd,packages,short_cd,is_0_mrp,mrp_order,ipmrp_cd,mrp_item,mrp,sal_gr_rt,off_onmrp,sal_remark
"WI","WIBS PVT.LTD.","WI001AE","WHITE BREAD-400GM","WI001","WHITE BREAD","AE","400GM","WI",F,1,"WI001AEA","WHITE BREAD-400GM @28.00",28.00,24.6000,0.00,""
"WI","WIBS PVT.LTD.","WI001AO","WHITE BREAD-800GM","WI001","WHITE BREAD","AO","800GM","WI",F,1,"WI001AOA","WHITE BREAD-800GM @56.00",56.00,49.3000,0.00,""
"WI","WIBS PVT.LTD.","WI001W2","WHITE BREAD-200GM","WI001","WHITE BREAD","W2","200GM","WI",F,1,"WI001W2A","WHITE BREAD-200GM @15.00",15.00,13.1000,0.00,""
"WI","WIBS PVT.LTD.","WI002AE","BROWN BREAD-400GM","WI002","BROWN BREAD","AE","400GM","WI",F,1,"WI002AEA","BROWN BREAD-400GM @40.00",40.00,34.0000,0.00,""
"WI","WIBS PVT.LTD.","WI002W2","BROWN BREAD-200GM","WI002","BROWN BREAD","W2","200GM","WI",F,1,"WI002W2A","BROWN BREAD-200GM @22.00",22.00,18.2500,0.00,""
"WI","WIBS PVT.LTD.","WI003W2","FRUITY-200GM","WI003","FRUITY","W2","200GM","WI",F,1,"WI003W2A","FRUITY-200GM @20.00",20.00,17.0000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR001A7","WHITE BREAD-1 KG","CR001","WHITE BREAD","A7","1 KG","CR",F,1,"CR001A7A","WHITE BREAD-1 KG @70.00",70.00,60.0000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR001W7","WHITE BREAD-1.5Kg","CR001","WHITE BREAD","W7","1.5Kg","CR",F,1,"CR001W7A","WHITE BREAD-1.5Kg @105.00",105.00,90.0000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR002PA","BURGER-Piece","CR002","BURGER","PA","Piece","CR",F,1,"CR002PAA","BURGER-Piece @6.50",6.50,5.5000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR003PA","SEMOLINA PAV-Piece","CR003","SEMOLINA PAV","PA","Piece","CR",F,1,"CR003PAA","SEMOLINA PAV-Piece @5.00",5.00,4.0000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR004PA","BURGER[BLACK SEEDED]-Piece","CR004","BURGER[BLACK SEEDED]","PA","Piece","CR",F,1,"CR004PAA","BURGER[BLACK SEEDED]-Piece @10.00",10.00,9.0000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR006PA","HOT DOG-Piece","CR006","HOT DOG","PA","Piece","CR",F,1,"CR006PAA","HOT DOG-Piece @6.50",6.50,5.5000,0.00,""
"CR","CRANBEERY FOODS PVT LTD","CR007A7","BROWN BREAD-1 KG","CR007","BROWN BREAD","A7","1 KG","CR",F,1,"CR007A7A","BROWN BREAD-1 KG @80.00",80.00,70.0000,0.00,""
